301.475, 129.560, 5.480,  6.095 False
301.292, 129.570, 5.520,  6.128 False
301.107, 129.580, 5.562,  6.161 False
300.921, 129.592, 5.599,  6.194 False
300.733, 129.603, 5.638,  6.227 False
300.545, 129.615, 5.674,  6.260 False
300.355, 129.625, 5.711,  6.293 False
300.164, 129.637, 5.744,  6.326 False
299.972, 129.649, 5.778,  6.359 False
299.779, 129.661, 5.810,  6.392 False
299.585, 129.672, 5.843,  6.425 False
299.390, 129.684, 5.874,  6.458 False
299.194, 129.696, 5.908,  6.491 False
298.996, 129.708, 5.938,  6.524 False
298.798, 129.720, 5.972,  6.557 False
298.599, 129.732, 6.003,  6.590 False
298.398, 129.744, 6.036,  6.623 False
298.197, 129.758, 6.067,  6.656 False
297.994, 129.771, 6.101,  6.689 False
297.791, 129.785, 6.131,  6.722 False
297.586, 129.799, 6.164,  6.755 False
297.380, 129.812, 6.195,  6.788 False
297.173, 129.826, 6.228,  6.821 False
296.966, 129.840, 6.257,  6.854 False
296.757, 129.854, 6.290,  6.887 False
296.547, 129.868, 6.319,  6.920 False
296.336, 129.882, 6.351,  6.953 False
296.124, 129.896, 6.381,  6.986 False
295.911, 129.911, 6.413,  7.019 False
295.697, 129.925, 6.442,  7.052 False
295.482, 129.941, 6.474,  7.085 False
295.266, 129.956, 6.503,  7.118 False
295.049, 129.971, 6.536,  7.151 False
294.831, 129.986, 6.565,  7.184 False
294.612, 130.002, 6.597,  7.217 False
294.392, 130.018, 6.626,  7.250 False
294.171, 130.033, 6.657,  7.283 False
293.949, 130.049, 6.686,  7.316 False
293.726, 130.065, 6.717,  7.349 False
293.502, 130.081, 6.745,  7.382 False
293.277, 130.097, 6.775,  7.415 False
293.051, 130.113, 6.802,  7.448 False
292.824, 130.129, 6.832,  7.481 False
292.597, 130.145, 6.860,  7.514 False
292.368, 130.161, 6.890,  7.547 False
292.138, 130.178, 6.917,  7.580 False
291.908, 130.194, 6.948,  7.613 False
291.676, 130.210, 6.975,  7.646 False
291.443, 130.227, 7.006,  7.679 False
291.210, 130.243, 7.033,  7.712 False
290.975, 130.260, 7.063,  7.745 False
290.740, 130.277, 7.091,  7.778 False
290.503, 130.293, 7.121,  7.811 False
290.266, 130.310, 7.149,  7.844 False
290.027, 130.326, 7.179,  7.877 False
289.788, 130.343, 7.206,  7.910 False
289.547, 130.360, 7.237,  7.943 False
289.306, 130.376, 7.264,  7.976 False
289.064, 130.392, 7.295,  8.009 False
288.821, 130.409, 7.322,  8.042 False
288.576, 130.425, 7.352,  8.075 False
288.331, 130.442, 7.379,  8.108 False
288.085, 130.458, 7.410,  8.141 False
287.838, 130.475, 7.437,  8.174 False
287.590, 130.491, 7.467,  8.207 False
287.341, 130.507, 7.493,  8.240 False
287.091, 130.523, 7.523,  8.273 False
286.840, 130.539, 7.550,  8.306 False
286.588, 130.555, 7.580,  8.339 False
286.335, 130.571, 7.607,  8.372 False
286.081, 130.587, 7.637,  8.405 False
285.827, 130.603, 7.664,  8.438 False
285.571, 130.619, 7.694,  8.471 False
285.314, 130.635, 7.721,  8.504 False
285.057, 130.651, 7.751,  8.537 False
284.798, 130.667, 7.778,  8.570 False
284.538, 130.683, 7.808,  8.603 False
284.278, 130.698, 7.835,  8.636 False
284.016, 130.714, 7.866,  8.669 False
283.754, 130.728, 7.891,  8.702 False
283.491, 130.741, 7.921,  8.735 False
283.226, 130.753, 7.948,  8.768 False
282.961, 130.765, 7.979,  8.801 False
282.694, 130.776, 8.007,  8.834 False
282.427, 130.786, 8.038,  8.867 False
282.158, 130.796, 8.066,  8.900 False
281.889, 130.805, 8.097,  8.933 False
281.618, 130.813, 8.124,  8.966 False
281.347, 130.821, 8.155,  8.999 False
281.074, 130.828, 8.182,  9.032 False
280.801, 130.836, 8.213,  9.065 False
280.527, 130.842, 8.239,  9.098 False
280.252, 130.848, 8.263,  9.131 False
279.976, 130.853, 8.282,  9.164 False
279.699, 130.857, 8.300,  9.197 False
279.423, 130.860, 8.314,  9.230 False
279.145, 130.863, 8.327,  9.263 False
278.868, 130.865, 8.337,  9.296 False
278.590, 130.867, 8.347,  9.329 False
278.311, 130.868, 8.355,  9.362 False
278.033, 130.870, 8.362,  9.395 False
277.754, 130.870, 8.367,  9.428 False
277.475, 130.870, 8.372,  9.461 False
277.196, 130.870, 8.377,  9.494 False
276.917, 130.869, 8.380,  9.527 False
276.638, 130.867, 8.383,  9.560 False
276.358, 130.865, 8.386,  9.593 False
276.079, 130.862, 8.388,  9.626 False
275.799, 130.859, 8.390,  9.659 False
275.520, 130.855, 8.392,  9.692 False
275.240, 130.851, 8.393,  9.725 False
274.960, 130.847, 8.394,  9.758 False
274.681, 130.843, 8.395,  9.791 False
274.401, 130.837, 8.395,  9.824 False
274.121, 130.832, 8.396,  9.857 False
273.841, 130.826, 8.396,  9.890 False
273.562, 130.820, 8.396,  9.923 False
273.282, 130.814, 8.396,  9.956 False
273.002, 130.807, 8.396,  9.989 False
272.722, 130.800, 8.396, 10.022 False
272.443, 130.792, 8.395, 10.055 False
272.163, 130.784, 8.395, 10.088 False
271.883, 130.776, 8.395, 10.121 False
271.604, 130.768, 8.394, 10.154 False
271.324, 130.760, 8.393, 10.187 False
271.044, 130.751, 8.393, 10.220 False
270.765, 130.742, 8.392, 10.253 False
270.485, 130.734, 8.391, 10.286 False
270.206, 130.724, 8.391, 10.319 False
269.926, 130.715, 8.390, 10.352 False
269.647, 130.704, 8.389, 10.385 False
269.367, 130.694, 8.388, 10.418 False
269.088, 130.684, 8.387, 10.451 False
268.809, 130.674, 8.386, 10.484 False
268.529, 130.663, 8.385, 10.517 False
268.250, 130.653, 8.385, 10.550 False
267.971, 130.642, 8.384, 10.583 False
267.692, 130.631, 8.383, 10.616 False
267.412, 130.620, 8.382, 10.649 False
267.133, 130.609, 8.381, 10.682 False
266.854, 130.597, 8.380, 10.715 False
266.575, 130.586, 8.379, 10.748 False
266.296, 130.574, 8.378, 10.781 False
266.017, 130.562, 8.377, 10.814 False
265.738, 130.550, 8.376, 10.847 False
265.459, 130.538, 8.375, 10.880 False
265.180, 130.526, 8.374, 10.913 False
264.902, 130.514, 8.374, 10.946 False
264.623, 130.501, 8.372, 10.979 False
264.344, 130.488, 8.371, 11.012 False
264.065, 130.475, 8.371, 11.045 False
263.787, 130.462, 8.370, 11.078 False
263.508, 130.449, 8.369, 11.111 False
263.229, 130.436, 8.368, 11.144 False
262.951, 130.423, 8.368, 11.177 False
262.672, 130.409, 8.367, 11.210 False
262.394, 130.396, 8.366, 11.243 False
262.115, 130.383, 8.365, 11.276 False
261.836, 130.369, 8.365, 11.309 False
261.558, 130.356, 8.364, 11.342 False
261.280, 130.342, 8.363, 11.375 False
261.001, 130.329, 8.362, 11.408 False
260.723, 130.315, 8.362, 11.441 False
260.444, 130.302, 8.361, 11.474 False
260.166, 130.288, 8.360, 11.507 False
259.888, 130.274, 8.360, 11.540 False
259.609, 130.260, 8.359, 11.573 False
259.331, 130.247, 8.359, 11.606 False
259.053, 130.233, 8.358, 11.639 False
258.775, 130.219, 8.357, 11.672 False
258.496, 130.205, 8.357, 11.705 False
258.218, 130.191, 8.356, 11.738 False
257.940, 130.178, 8.356, 11.771 False
257.662, 130.164, 8.355, 11.804 False
257.384, 130.150, 8.355, 11.837 False
257.106, 130.136, 8.354, 11.870 False
256.827, 130.122, 8.353, 11.903 False
256.549, 130.109, 8.353, 11.936 False
256.271, 130.095, 8.352, 11.969 False
255.993, 130.081, 8.352, 12.002 False
255.715, 130.068, 8.352, 12.035 False
255.437, 130.054, 8.351, 12.068 False
255.159, 130.040, 8.351, 12.101 False
254.881, 130.027, 8.350, 12.134 False
254.603, 130.013, 8.350, 12.167 False
254.325, 130.000, 8.349, 12.200 False
254.047, 129.986, 8.349, 12.233 False
253.769, 129.973, 8.349, 12.266 False
253.491, 129.959, 8.348, 12.299 False
253.213, 129.946, 8.348, 12.332 False
252.935, 129.933, 8.347, 12.365 False
252.657, 129.919, 8.347, 12.398 False
252.379, 129.906, 8.347, 12.431 False
252.102, 129.893, 8.346, 12.464 False
251.824, 129.880, 8.346, 12.497 False
251.546, 129.867, 8.346, 12.530 False
251.268, 129.854, 8.345, 12.563 False
250.990, 129.841, 8.345, 12.596 False
250.712, 129.828, 8.345, 12.629 False
250.434, 129.816, 8.345, 12.662 False
250.156, 129.803, 8.344, 12.695 False
249.879, 129.791, 8.344, 12.728 False
249.601, 129.778, 8.344, 12.761 False
249.323, 129.766, 8.343, 12.794 False
249.045, 129.753, 8.343, 12.827 False
248.767, 129.741, 8.343, 12.860 False
248.489, 129.729, 8.343, 12.893 False
248.212, 129.717, 8.342, 12.926 False
247.934, 129.705, 8.342, 12.959 False
247.656, 129.693, 8.342, 12.992 False
247.378, 129.682, 8.342, 13.025 False
247.100, 129.670, 8.342, 13.058 False
246.822, 129.658, 8.341, 13.091 False
246.545, 129.647, 8.341, 13.124 False
246.267, 129.636, 8.341, 13.157 False
245.989, 129.624, 8.341, 13.190 False
245.711, 129.613, 8.340, 13.223 False
245.433, 129.602, 8.340, 13.256 False
245.156, 129.591, 8.340, 13.289 False
244.878, 129.581, 8.340, 13.322 False
244.600, 129.570, 8.340, 13.355 False
244.322, 129.559, 8.340, 13.388 False
244.045, 129.549, 8.339, 13.421 False
243.767, 129.539, 8.339, 13.454 False
243.489, 129.528, 8.339, 13.487 False
243.211, 129.518, 8.339, 13.520 False
242.933, 129.508, 8.339, 13.553 False
242.656, 129.498, 8.339, 13.586 False
242.378, 129.489, 8.339, 13.619 False
242.100, 129.479, 8.338, 13.652 False
241.822, 129.470, 8.338, 13.685 False
241.545, 129.460, 8.338, 13.718 False
241.267, 129.451, 8.338, 13.751 False
240.989, 129.442, 8.338, 13.784 False
240.711, 129.433, 8.338, 13.817 False
240.433, 129.424, 8.338, 13.850 False
240.156, 129.415, 8.338, 13.883 False
239.878, 129.407, 8.337, 13.916 False
239.600, 129.398, 8.337, 13.949 False
239.322, 129.390, 8.337, 13.982 False
239.045, 129.382, 8.337, 14.015 False
238.767, 129.373, 8.337, 14.048 False
238.489, 129.366, 8.337, 14.081 False
238.211, 129.358, 8.337, 14.114 False
237.933, 129.350, 8.337, 14.147 False
237.656, 129.342, 8.337, 14.180 False
237.378, 129.335, 8.336, 14.213 False
237.100, 129.328, 8.336, 14.246 False
236.822, 129.320, 8.336, 14.279 False
236.545, 129.313, 8.336, 14.312 False
236.267, 129.306, 8.336, 14.345 False
235.989, 129.299, 8.336, 14.378 False
235.711, 129.293, 8.336, 14.411 False
235.433, 129.287, 8.336, 14.444 False
235.156, 129.281, 8.336, 14.477 False
234.878, 129.275, 8.336, 14.510 False
234.600, 129.269, 8.336, 14.543 False
234.322, 129.263, 8.336, 14.576 False
234.044, 129.257, 8.336, 14.609 False
233.767, 129.251, 8.336, 14.642 False
233.489, 129.246, 8.335, 14.675 False
233.211, 129.240, 8.335, 14.708 False
232.933, 129.236, 8.335, 14.741 False
232.655, 129.231, 8.335, 14.774 False
232.378, 129.227, 8.335, 14.807 False
232.100, 129.222, 8.335, 14.840 False
231.822, 129.218, 8.335, 14.873 False
231.544, 129.214, 8.335, 14.906 False
231.266, 129.210, 8.335, 14.939 False
230.989, 129.206, 8.335, 14.972 False
230.711, 129.202, 8.335, 15.005 False
230.433, 129.198, 8.335, 15.038 False
230.155, 129.194, 8.335, 15.071 False
229.877, 129.190, 8.335, 15.104 False
229.599, 129.187, 8.335, 15.137 False
229.322, 129.184, 8.335, 15.170 False
229.044, 129.180, 8.335, 15.203 False
228.766, 129.177, 8.335, 15.236 False
228.488, 129.174, 8.335, 15.269 False
228.210, 129.172, 8.335, 15.302 False
227.933, 129.169, 8.335, 15.335 False
227.655, 129.166, 8.334, 15.368 False
227.377, 129.163, 8.334, 15.401 False
227.099, 129.162, 8.334, 15.434 False
226.821, 129.159, 8.334, 15.467 False
226.544, 129.157, 8.334, 15.500 False
226.266, 129.155, 8.334, 15.533 False
225.988, 129.154, 8.334, 15.566 False
225.710, 129.152, 8.334, 15.599 False
225.432, 129.150, 8.334, 15.632 False
225.154, 129.149, 8.334, 15.665 False
224.877, 129.147, 8.334, 15.698 False
224.599, 129.146, 8.334, 15.731 False
224.321, 129.145, 8.334, 15.764 False
224.043, 129.144, 8.334, 15.797 False
223.765, 129.143, 8.334, 15.830 False
223.488, 129.142, 8.334, 15.863 False
223.210, 129.142, 8.334, 15.896 False
222.932, 129.141, 8.334, 15.929 False
222.654, 129.141, 8.334, 15.962 False
222.376, 129.140, 8.334, 15.995 False
222.098, 129.140, 8.334, 16.028 False
221.821, 129.140, 8.334, 16.061 False
221.543, 129.140, 8.334, 16.094 False
221.265, 129.140, 8.334, 16.127 False
220.987, 129.140, 8.334, 16.160 False
220.709, 129.140, 8.334, 16.193 False
220.432, 129.140, 8.334, 16.226 False
220.154, 129.140, 8.334, 16.259 False
219.876, 129.141, 8.334, 16.292 False
219.598, 129.141, 8.334, 16.325 False
219.321, 129.142, 8.334, 16.358 False
219.043, 129.143, 8.334, 16.391 False
218.765, 129.143, 8.334, 16.424 False
218.487, 129.144, 8.334, 16.457 False
218.209, 129.145, 8.334, 16.490 False
217.932, 129.146, 8.334, 16.523 False
217.654, 129.146, 8.334, 16.556 False
217.376, 129.147, 8.334, 16.589 False
217.098, 129.149, 8.334, 16.622 False
216.821, 129.150, 8.334, 16.655 False
216.543, 129.151, 8.334, 16.688 False
216.265, 129.152, 8.334, 16.721 False
215.987, 129.154, 8.334, 16.754 False
215.709, 129.155, 8.333, 16.787 False
215.432, 129.157, 8.333, 16.820 False
215.154, 129.158, 8.333, 16.853 False
214.876, 129.160, 8.333, 16.886 False
214.598, 129.161, 8.333, 16.919 False
214.321, 129.163, 8.333, 16.952 False
214.043, 129.165, 8.333, 16.985 False
213.765, 129.167, 8.333, 17.018 False
213.487, 129.168, 8.333, 17.051 False
213.209, 129.170, 8.333, 17.084 False
212.932, 129.172, 8.333, 17.117 False
212.654, 129.174, 8.333, 17.150 False
212.376, 129.177, 8.333, 17.183 False
212.098, 129.179, 8.333, 17.216 False
211.821, 129.181, 8.333, 17.249 False
211.543, 129.183, 8.333, 17.282 False
211.265, 129.185, 8.333, 17.315 False
210.987, 129.188, 8.333, 17.348 False
210.710, 129.190, 8.333, 17.381 False
210.432, 129.192, 8.333, 17.414 False
210.154, 129.195, 8.333, 17.447 False
209.876, 129.197, 8.333, 17.480 False
209.598, 129.200, 8.333, 17.513 False
209.321, 129.203, 8.333, 17.546 False
209.043, 129.205, 8.333, 17.579 False
208.765, 129.208, 8.333, 17.612 False
208.487, 129.211, 8.333, 17.645 False
208.210, 129.213, 8.333, 17.678 False
207.932, 129.216, 8.333, 17.711 False
207.654, 129.219, 8.333, 17.744 False
207.376, 129.223, 8.333, 17.777 False
207.099, 129.226, 8.333, 17.810 False
206.821, 129.229, 8.333, 17.843 False
206.543, 129.232, 8.333, 17.876 False
206.265, 129.235, 8.333, 17.909 False
205.988, 129.239, 8.333, 17.942 False
205.710, 129.242, 8.333, 17.975 False
205.432, 129.245, 8.333, 18.008 False
205.154, 129.249, 8.333, 18.041 False
204.877, 129.252, 8.333, 18.074 False
204.599, 129.255, 8.333, 18.107 False
204.321, 129.259, 8.333, 18.140 False
204.043, 129.262, 8.333, 18.173 False
203.766, 129.266, 8.333, 18.206 False
203.488, 129.269, 8.333, 18.239 False
203.210, 129.272, 8.333, 18.272 False
202.932, 129.276, 8.333, 18.305 False
202.655, 129.279, 8.333, 18.338 False
202.377, 129.283, 8.333, 18.371 False
202.099, 129.286, 8.333, 18.404 False
201.822, 129.290, 8.333, 18.437 False
201.544, 129.293, 8.333, 18.470 False
201.266, 129.297, 8.333, 18.503 False
200.988, 129.300, 8.333, 18.536 False
200.711, 129.304, 8.333, 18.569 False
200.433, 129.307, 8.333, 18.602 False
200.155, 129.311, 8.333, 18.635 False
199.877, 129.314, 8.333, 18.668 False
199.600, 129.318, 8.333, 18.701 False
199.322, 129.321, 8.333, 18.734 False
199.044, 129.325, 8.333, 18.767 False
198.766, 129.328, 8.333, 18.800 False
198.489, 129.332, 8.333, 18.833 False
198.211, 129.335, 8.333, 18.866 False
197.933, 129.339, 8.333, 18.899 False
197.656, 129.342, 8.333, 18.932 False
197.378, 129.346, 8.333, 18.965 False
197.100, 129.349, 8.333, 18.998 False
196.822, 129.353, 8.333, 19.031 False
196.545, 129.356, 8.333, 19.064 False
196.267, 129.360, 8.333, 19.097 False
195.989, 129.363, 8.333, 19.130 False
